time,open,high,low,close
2013-03-20T00:00:00Z,51.10082006,67.99,51.10082006,62.6275
2013-03-21T00:00:00Z,56.86416003,76.91,56.86416003,69.72
2013-03-22T00:00:00Z,63.29208002,74.47,63.29208002,70.06
2013-03-23T00:00:00Z,66.67604001,72,50.09,63.7
2013-03-24T00:00:00Z,65.18802,71,63.36,67.2375
2013-03-25T00:00:00Z,66.21276,80,66.21276,73.645
2013-03-26T00:00:00Z,69.92888,86,69.92888,78.6025
2013-03-27T00:00:00Z,74.26569,89.99,74.26569,84.4625
2013-03-28T00:00:00Z,79.364095,97,79.364095,88.73
2013-03-29T00:00:00Z,84.0470475,94,84,89.24
2013-03-30T00:00:00Z,86.64352375,95,86.64352375,91.7275
2013-03-31T00:00:00Z,89.18551188,96.15,89.18551188,94.135
2013-04-01T00:00:00Z,91.66025594,106.5,91.66025594,100.1
2013-04-02T00:00:00Z,95.88012797,116,95.88012797,108.9575
2013-04-03T00:00:00Z,102.418814,158.41,102.418814,129.5475
2013-04-04T00:00:00Z,115.983157,150,115.983157,134.4675
2013-04-05T00:00:00Z,125.2253285,144,125.2253285,136.89
2013-04-06T00:00:00Z,131.0576642,150.03,131.0576642,142.8325
2013-04-07T00:00:00Z,136.9450821,165.1,136.9450821,152.93
2013-04-08T00:00:00Z,144.9375411,198,144.9375411,177.6425
2013-04-09T00:00:00Z,161.2900205,235.29,161.2900205,203.5575
2013-04-10T00:00:00Z,182.4237603,259.34,70,180.07
2013-04-11T00:00:00Z,181.2468801,181.2468801,50,118.6
2013-04-12T00:00:00Z,149.9234401,149.9234401,45,86.98
2013-04-13T00:00:00Z,118.45172,119,85,101.385
2013-04-14T00:00:00Z,109.91836,109.91836,81.94,90.87
2013-04-15T00:00:00Z,100.39418,100.39418,60,81.3975
2013-04-16T00:00:00Z,90.89584,90.89584,49.8,68.47
2013-04-17T00:00:00Z,79.68292,101.12,60,79.7375
2013-04-18T00:00:00Z,79.71021,111.23,78.92,97.3575
2013-04-19T00:00:00Z,88.533855,140.2,88.533855,116.8025
